NIS-code,BEVOLKINGSDICHTHEID,WOONPLAATS
71067,228,Zutendaal
71069,340,Ham
71070,641,Heusden-Zolder
72003,228,Bocholt
72004,251,Bree
72018,224,Kinrooi
72020,336,Lommel
72021,331,Maaseik
72030,189,Peer
72037,329,Hamont-Achel
72038,166,Hechtel-Eksel
72039,394,Houthalen-Helchteren
72041,319,Dilsen-Stokkem
72042,203,Oudsbergen
72043,401,Pelt
73001,416,Alken
73006,427,Bilzen
73009,220,Borgloon
73022,141,Heers
73028,59,Herstappe
73032,327,Hoeselt
73040,253,Kortessem
73042,444,Lanaken
73066,289,Riemst
73083,359,Tongeren
73098,278,Wellen
73107,513,Maasmechelen
73109,85,Voeren
