NIS-code,%-groei(2015-2020),Gemeente
44064,-2.8,Sint-Martens-Latem
44073,3.3,Wachtebeke
44081,1.5,Zulte
44083,3.0,Deinze
44084,2.7,Aalter
44085,3.3,Lievegem
45035,2.9,Oudenaarde
45041,2.3,Ronse
45059,0.4,Brakel
45060,5.3,Kluisbergen
45061,1.8,Wortegem-Petegem
45062,-0.2,Horebeke
45063,1.9,Lierde
45064,0.5,Maarkedal
45065,1.8,Zwalm
45068,1.9,Kruisem
46003,3.3,Beveren
46013,2.4,Kruibeke
46014,4.0,Lokeren
46020,2.4,Sint-Gillis-Waas
46021,5.4,Sint-Niklaas
46024,5.1,Stekene
46025,3.8,Temse
71002,0.4,As
71004,3.3,Beringen
71011,0.8,Diepenbeek
71016,1.6,Genk
71017,1.1,Gingelom
71020,-0.4,Halen
71022,3.1,Hasselt
71024,0.5,Herk-de-Stad
71034,3.9,Leopoldsburg
71037,3.5,Lummen
71045,1.2,Nieuwerkerken
71053,1.7,Sint-Truiden
71057,2.0,Tessenderlo
71066,1.0,Zonhoven
71067,0.5,Zutendaal
71069,4.0,Ham
71070,3.3,Heusden-Zolder
72003,4.3,Bocholt
72004,2.6,Bree
72018,-0.2,Kinrooi
72020,1.2,Lommel
72021,1.2,Maaseik
72030,0.1,Peer
72037,-0.4,Hamont-Achel
72038,3.9,Hechtel-Eksel
72039,0.8,Houthalen-Helchteren
72041,3.4,Dilsen-Stokkem
72042,1.0,Oudsbergen
72043,3.8,Pelt
73001,2.3,Alken
73006,0.9,Bilzen
73009,5.7,Borgloon
73022,3.2,Heers
73028,-11.2,Herstappe
73032,1.3,Hoeselt
73040,2.8,Kortessem
73042,1.4,Lanaken
73066,1.1,Riemst
73083,2.3,Tongeren
73098,0.7,Wellen
73107,4.2,Maasmechelen
73109,3.8,Voeren
